name,position,team,drafted round,keeper round
James Conner,RB,Danny,NA,16
Nick Chubb,RB,Danny,13,13
Aaron Jones,RB,FA,NA,16
Patrick Mahomes,QB,Zack,NA,16
Kenny Golladay,WR,Zack,NA,16
Derrius Guice,RB,Hunter,14,14
Phillip Lindsay,RB,Nate,NA,16
Calvin Ridley,WR,Nate,NA,16
Chris Godwin,WR,Brendan,NA,16
DJ Moore,WR,Mac,NA,16
Courtland Sutton,WR,FA,NA,16
JuJu Smith-Schuster,WR,Danny,9,9
Sony Michel,RB,Danny,10,10
George Kittle,TE,Hunter,NA,16
Cooper Kupp,WR,Vinay,NA,16
Brandin Cooks,WR,Mac,7,7
Alshon Jeffery,WR,Brendan,12,12
David Njoku,TE,Mac,NA,16
Evan Engram,TE,Danny,NA,16
Michael Thomas,WR,Zack,3,3
Kerryon Johnson,RB,Nate,8,8
Robert Woods,WR,Bryan,9,9
Jared Goff,QB,Nate,NA,16
Anthony Miller,WR,FA,NA,16
Tarik Cohen,RB,Hunter,15,15
Marlon Mack,RB,Vinay,15,15
Corey Davis,WR,FA,8,8
Davante Adams,WR,Danny,4,4
Tyreek Hill,WR,Nate,4,4
Joe Mixon,RB,Mac,4,4
Christian McCaffrey,RB,Hunter,2,2
DeAndre Hopkins,WR,Danny,2,2
Odell Beckham,WR,Vinay,2,2
Tyler Boyd,WR,Nate,NA,16
Sterling Shepard,WR,FA,NA,16
Christian Kirk,WR,FA,NA,16
Carson Wentz,QB,Brendan,9,9
Sammy Watkins,WR,Brendan,12,12
Adam Thielen,WR,Hunter,5,5
Baker Mayfield,QB,Mac,NA,16
James White,RB,FA,NA,16
Matt Breida,RB,Hunter,NA,16
Hunter Henry,TE,FA,NA,16
Andrew Luck,QB,Mac,13,13
Zach Ertz,TE,Zack,6,6
Allen Robinson,WR,Bryan,8,8
John Brown,WR,FA,NA,16
Rashaad Penny,RB,FA,12,12
Tevin Coleman,RB,Vinay,10,10
Mike Evans,WR,Mac,3,3
Matt Ryan,QB,Nate,NA,16
TJ Yeldon,RB,FA,NA,16
Nelson Agholor,WR,FA,NA,16
TreQuan Smith,WR,FA,NA,16
Travis Kelce,TE,Brendan,4,4
Stefon Diggs,WR,Bryan,4,4
Jarvis Landry,WR,Bryan,6,6
Mitchell Trubisky,QB,Bryan,NA,16
Eric Ebron,TE,Vinay,NA,16
Antonio Callaway,WR,FA,NA,16
Dante Pettis,WR,FA,NA,16
Keke Coutee,WR,FA,NA,16
James Washington,WR,FA,NA,16
Mike Williams,WR,Zack,11,11
Kirk Cousins,QB,FA,12,12
Trey Burton,TE,FA,13,13
Matthew Stafford,QB,FA,NA,16
Tyler Lockett,WR,Zack,NA,16
DeVante Parker,WR,FA,NA,16
Mike Gesicki,TE,FA,NA,16
Todd Gurley II,RB,Zack,1,1
Saquon Barkley,RB,Vinay,1,1
Alvin Kamara,RB,Bryan,1,1
Ezekiel Elliott,RB,Mac,1,1
Julio Jones,WR,Bryan,2,2
Keenan Allen,WR,Nate,3,3
Russell Wilson,QB,Bryan,7,7
Emmanuel Sanders,WR,FA,10,10
Duke Johnson,RB,FA,13,13
Robby Anderson,WR,FA,16,16
Marcus Mariota,QB,FA,NA,16
Dallas Goedert,TE,FA,NA,16
Jack Doyle,TE,FA,NA,16
Ricky Seals-Jones,TE,FA,16,16
Ben Roethlisberger,QB,Brendan,NA,16
Dak Prescott,QB,FA,NA,16
Eli Manning,QB,FA,NA,16
Case Keenum,QB,FA,NA,16
Andy Dalton,QB,FA,NA,16
Blake Bortles,QB,FA,NA,16
Ryan Fitzpatrick,QB,FA,NA,16
Josh Allen,QB,Hunter,NA,16
Jameis Winston,QB,FA,NA,16
Jared Cook,TE,Bryan,NA,16
Sam Darnold,QB,FA,NA,16
Dede Westbrook,WR,Mac,NA,16
Adam Humphries,WR,FA,NA,16
Alex Smith,QB,FA,NA,16
Joe Flacco,QB,FA,NA,16
Nick Mullens,QB,FA,NA,16
Ryan Tannehill,QB,FA,NA,16
Austin Ekeler,RB,FA,NA,16
Mohamed Sanu,WR,FA,NA,16
DeSean Jackson,WR,Brendan,NA,16
Lamar Jackson,QB,FA,NA,16
Gus Edwards,RB,Mac,NA,16
Nyheim Hines,RB,FA,NA,16
Austin Hooper,TE,FA,NA,16
Jalen Richard,RB,FA,NA,16
Tyrell Williams,WR,FA,NA,16
Zay Jones,WR,FA,NA,16
Taylor Gabriel,WR,FA,NA,16
Jeff Wilson,RB,FA,NA,16
Kenny Stills,WR,FA,NA,16
OJ Howard,TE,FA,NA,16
Mike Davis,RB,FA,NA,16
Donte Moncrief,WR,FA,NA,16
Josh Rosen,QB,FA,NA,16
Vance McDonald,TE,Nate,NA,16
Curtis Samuel,WR,FA,NA,16
Cole Beasley,WR,FA,NA,16
Willie Snead IV,WR,FA,NA,16
Danny Amendola,WR,FA,NA,16
Chris Herndon,TE,FA,NA,16
Frank Gore,RB,FA,NA,16
Wendell Smallwood,RB,FA,NA,16
Albert Wilson,WR,FA,NA,16
Josh Doctson,WR,FA,NA,16
Marquez Valdes-Scantling,WR,FA,NA,16
David Moore,WR,FA,NA,16
Mark Andrews,TE,FA,NA,16
Ito Smith,RB,Brendan,NA,16
CJ Uzomah,TE,FA,NA,16
Theo Riddick,RB,FA,NA,16
Alfred Blue,RB,Hunter,NA,16
Robert Foster,RB,Mac,NA,16
Giovani Bernard,RB,FA,NA,16
Damien Williams,RB,Zack,NA,16
John Ross,WR,FA,NA,16
Cameron Brate,TE,Hunter,NA,16
Javorius Allen,RB,FA,NA,16
Elijah McGuire,RB,Hunter,NA,16
Jaylen Samuels,RB,Danny,NA,16
Quincy Enunwa,WR,FA,NA,16
Taywan Taylor,WR,FA,NA,16
Josh Reynolds,WR,Hunter,NA,16
Gerald Everett,TE,FA,NA,16
Josh Adams,RB,FA,NA,16
Corey Clement,RB,FA,NA,16
Brock Osweiler,QB,FA,NA,16
Benjamin Watson,TE,FA,NA,16
Jesse James,TE,FA,NA,16
Vernon Davis,TE,FA,NA,16
Spencer Ware,RB,Zack,NA,16
Jermaine Kearse,WR,FA,NA,16
Nick Foles,QB,FA,NA,16
Antonio Gates,TE,FA,NA,16
Chris Ivory,RB,FA,NA,16
Tajae Sharpe,WR,FA,NA,16
Devontae Booker,RB,FA,NA,16
Kelvin Benjamin,WR,FA,NA,16
Jordan Matthews,WR,FA,NA,16
Nick Vannett,TE,FA,NA,16
Ty Montgomery,RB,FA,NA,16
Ryan Grant,WR,FA,NA,16
Jonnu Smith,TE,FA,NA,16
Bilal Powell,RB,FA,NA,16
Paul Richardson,WR,FA,NA,16
Laquon Treadwell,WR,FA,NA,16
Darren Sproles,RB,FA,NA,16
Justin Jackson,RB,FA,NA,16
Jimmy Garoppolo,QB,FA,NA,16
Ian Thomas,TE,FA,NA,16
Kapri Bibbs,RB,FA,NA,16
Pierre Garcon,WR,FA,NA,16
Chase Edmonds,RB,FA,NA,16
Ted Ginn,WR,FA,NA,16
Terrelle Pryor,WR,FA,NA,16
Breshad Perriman,WR,FA,NA,16
DaeSean Hamilton,WR,Mac,NA,16
Ryan Switzer,WR,FA,NA,16
CJ Anderson,RB,Zack,NA,16
Kenneth Dixon,RB,FA,NA,16
Martavis Bryant,WR,FA,NA,16
Tyler Eifert,TE,FA,NA,16
Will Dissly,TE,FA,NA,16
Kalen Ballage,RB,Danny,NA,16
Hayden Hurst,TE,FA,NA,16
Wayne Gallman,RB,FA,NA,16
DJ Chark,WR,FA,NA,16
Austin Seferian-Jenkins,TE,FA,NA,16
Corey Grant,RB,FA,NA,16
Jake Butt,TE,FA,NA,16
DOnta Foreman,RB,FA,NA,16
Mark Walton,RB,FA,NA,16
Roc Thomas,RB,FA,NA,16
Devin Funchess,WR,FA,11,11
Chris Thompson,RB,FA,10,10
Derek Carr,QB,FA,15,15
Kenyan Drake,RB,Bryan,6,6
TY Hilton,WR,Vinay,4,4
Doug Martin,RB,Vinay,14,14
Will Fuller V,WR,FA,14,14
Jamaal Williams,RB,Zack,14,14
Allen Hurns,WR,FA,14,14
Delanie Walker,TE,FA,14,14
John Kelly,RB,Zack,14,14
Amari Cooper,WR,Nate,3,3
Marvin Jones,WR,FA,8,8
Latavius Murray,RB,FA,13,13
Rod Smith,WR,FA,13,13
Mark Ingram II,RB,Hunter,7,7
Dion Lewis,RB,FA,9,9
Drew Brees,QB,Hunter,11,11
Michael Gallup,WR,FA,10,10
Aaron Rodgers,QB,FA,5,5
Deshaun Watson,QB,Danny,5,5
Josh Gordon,WR,FA,5,5
Philip Rivers,QB,FA,12,12
Peyton Barber,RB,Brendan,12,12
Randall Cobb,WR,FA,12,12
Jamison Crowder,WR,FA,11,11
Marquise Goodwin,WR,FA,10,10
Isaiah Crowell,RB,Brendan,11,11
Keelan Cole,WR,FA,11,11
Dez Bryant,WR,FA,11,11
Antonio Brown,WR,Brendan,1,1
Melvin Gordon,RB,Hunter,1,1
David Johnson,RB,Nate,1,1
AJ Green,WR,Nate,2,2
Dalvin Cook,RB,Brendan,2,2
Leonard Fournette,RB,Mac,2,2
Jordy Nelson,WR,FA,10,10
Jordan Wilkins,RB,FA,10,10
Chris Carson,RB,Nate,9,9
Lamar Miller,RB,Vinay,7,7
Jordan Reed,TE,Brendan,9,9
Cam Newton,QB,Vinay,5,5
Kyle Rudolph,TE,FA,9,9
Michael Crabtree,WR,FA,9,9
Demaryius Thomas,WR,Danny,7,7
Golden Tate,WR,Brendan,6,6
Doug Baldwin,WR,Hunter,6,6
Royce Freeman,RB,FA,4,4
Alex Collins,RB,FA,7,7
LeVeon Bell,RB,Nate,1,1
Jimmy Graham,TE,Vinay,8,8
Derrick Henry,RB,Bryan,6,6
Jordan Howard,RB,FA,5,5
Adrian Peterson,RB,FA,8,8
Carlos Hyde,RB,FA,8,8
Rex Burkhead,RB,FA,8,8
Jay Ajayi,RB,FA,6,6
Devonta Freeman,RB,FA,3,3
Marshawn Lynch,RB,FA,7,7
Greg Olsen,TE,FA,7,7
Julian Edelman,WR,Vinay,6,6
Kareem Hunt,RB,Zack,2,2
Rob Gronkowski,TE,Danny,3,3
Tom Brady,QB,Bryan,5,5
Chris Hogan,WR,FA,5,5
Jerick McKinnon,RB,FA,3,3
LeSean McCoy,RB,Vinay,3,3
Larry Fitzgerald,WR,FA,4,4
