Pick,Value,% of no. 1 pick,Team #,Round
1,90.3,100.0,1,1
2,78.3,86.71,2,1
3,71.3,78.96,3,1
4,66.4,73.53,4,1
5,62.5,69.21,5,1
6,59.4,65.78,6,1
7,56.7,62.79,7,1
8,54.4,60.24,8,1
9,52.3,57.92,8,2
10,50.5,55.92,7,2
11,48.9,54.15,6,2
12,47.4,52.49,5,2
13,46.0,50.94,4,2
14,44.7,49.5,3,2
15,43.5,48.17,2,2
16,42.4,46.95,1,2
17,41.4,45.85,1,3
18,40.4,44.74,2,3
19,39.4,43.63,3,3
20,38.5,42.64,4,3
21,37.7,41.75,5,3
22,36.9,40.86,6,3
23,36.1,39.98,7,3
24,35.4,39.2,8,3
25,34.7,38.43,8,4
26,34.0,37.65,7,4
27,33.4,36.99,6,4
28,32.7,36.21,5,4
29,32.1,35.55,4,4
30,31.5,34.88,3,4
31,31.0,34.33,2,4
32,30.4,33.67,1,4
33,29.9,33.11,1,5
34,29.4,32.56,2,5
35,28.9,32.0,3,5
36,28.4,31.45,4,5
37,27.9,30.9,5,5
38,27.4,30.34,6,5
39,27.0,29.9,7,5
40,26.6,29.46,8,5
41,26.1,28.9,8,6
42,25.7,28.46,7,6
43,25.3,28.02,6,6
44,24.9,27.57,5,6
45,24.5,27.13,4,6
46,24.1,26.69,3,6
47,23.8,26.36,2,6
48,23.4,25.91,1,6
49,23.1,25.58,1,7
50,22.7,25.14,2,7
51,22.4,24.81,3,7
52,22.0,24.36,4,7
53,21.7,24.03,5,7
54,21.4,23.7,6,7
55,21.1,23.37,7,7
56,20.7,22.92,8,7
57,20.4,22.59,8,8
58,20.1,22.26,7,8
59,19.8,21.93,6,8
60,19.6,21.71,5,8
61,19.3,21.37,4,8
62,19.0,21.04,3,8
63,18.7,20.71,2,8
64,18.4,20.38,1,8
65,18.2,20.16,1,9
66,17.9,19.82,2,9
67,17.6,19.49,3,9
68,17.4,19.27,4,9
69,17.1,18.94,5,9
70,16.9,18.72,6,9
71,16.6,18.38,7,9
72,16.4,18.16,8,9
73,16.2,17.94,8,10
74,15.9,17.61,7,10
75,15.7,17.39,6,10
76,15.5,17.17,5,10
77,15.2,16.83,4,10
78,15.0,16.61,3,10
79,14.8,16.39,2,10
80,14.6,16.17,1,10
81,14.4,15.95,1,11
82,14.2,15.73,2,11
83,13.9,15.39,3,11
84,13.7,15.17,4,11
85,13.5,14.95,5,11
86,13.3,14.73,6,11
87,13.1,14.51,7,11
88,12.9,14.29,8,11
89,12.7,14.06,8,12
90,12.5,13.84,7,12
91,12.4,13.73,6,12
92,12.2,13.51,5,12
93,12.0,13.29,4,12
94,11.8,13.07,3,12
95,11.6,12.85,2,12
96,11.4,12.62,1,12
97,11.2,12.4,1,13
98,11.1,12.29,2,13
99,10.9,12.07,3,13
100,10.7,11.85,4,13
101,10.6,11.74,5,13
102,10.4,11.52,6,13
103,10.2,11.3,7,13
104,10.0,11.07,8,13
105,9.9,10.96,8,14
106,9.7,10.74,7,14
107,9.6,10.63,6,14
108,9.4,10.41,5,14
109,9.2,10.19,4,14
110,9.1,10.08,3,14
111,8.9,9.86,2,14
112,8.8,9.75,1,14
113,8.6,9.52,1,15
114,8.5,9.41,2,15
115,8.3,9.19,3,15
116,8.2,9.08,4,15
117,8.0,8.86,5,15
118,7.9,8.75,6,15
119,7.7,8.53,7,15
120,7.6,8.42,8,15
121,7.4,8.19,8,16
122,7.3,8.08,7,16
123,7.1,7.86,6,16
124,7.0,7.75,5,16
125,6.9,7.64,4,16
126,6.7,7.42,3,16
127,6.6,7.31,2,16
128,6.5,7.2,1,16
129,6.3,6.98,1,17
130,6.2,6.87,2,17
131,6.1,6.76,3,17
132,5.9,6.53,4,17
133,5.8,6.42,5,17
134,5.7,6.31,6,17
135,5.5,6.09,7,17
136,5.4,5.98,8,17
137,5.3,5.87,8,18
138,5.2,5.76,7,18
139,5.0,5.54,6,18
140,4.9,5.43,5,18
141,4.8,5.32,4,18
142,4.7,5.2,3,18
143,4.5,4.98,2,18
144,4.4,4.87,1,18
145,4.3,4.76,1,19
146,4.2,4.65,2,19
147,4.1,4.54,3,19
148,3.9,4.32,4,19
149,3.8,4.21,5,19
150,3.7,4.1,6,19
151,3.6,3.99,7,19
152,3.5,3.88,8,19
153,3.4,3.77,8,20
154,3.3,3.65,7,20
155,3.1,3.43,6,20
156,3.0,3.32,5,20
157,2.9,3.21,4,20
158,2.8,3.1,3,20
159,2.7,2.99,2,20
160,2.6,2.88,1,20
161,2.5,2.77,1,21
162,2.4,2.66,2,21
163,2.3,2.55,3,21
164,2.2,2.44,4,21
165,2.1,2.33,5,21
166,2.0,2.21,6,21
167,1.9,2.1,7,21
168,1.8,1.99,8,21
169,1.7,1.88,8,22
170,1.6,1.77,7,22
171,1.4,1.55,6,22
172,1.3,1.44,5,22
173,1.2,1.33,4,22
174,1.1,1.22,3,22
175,1.0,1.11,2,22
176,1.0,1.11,1,22
177,0.9,1.0,1,23
178,0.8,0.89,2,23
179,0.7,0.78,3,23
180,0.6,0.66,4,23
