index,FF,FG,FGA,FPTS,FR,INT,MISC FL,MISC FPTS,PA,PASSING ATT,PASSING CMP,PASSING INTS,PASSING TDS,PASSING YDS,Player,Position,RECEIVING REC,RECEIVING TDS,RECEIVING YDS,RUSHING ATT,RUSHING TDS,RUSHING YDS,SACK,SAFETY,TD,XPT,YDS AGN
0,,,,,,,2.0,338.2,,581.5,379.9,13.3,36.0,4779.6,Patrick Mahomes,qb,,,,52.4,2.0,219.6,,,,,
1,,,,,,,2.7,320.7,,511.7,338.0,12.0,26.4,4073.5,Deshaun Watson,qb,,,,95.2,4.4,552.2,,,,,
2,,,,,,,2.1,308.6,,590.0,375.0,7.6,29.5,4284.4,Aaron Rodgers,qb,,,,46.2,2.1,260.5,,,,,
3,,,,,,,2.0,302.1,,584.8,394.6,10.6,30.0,4632.4,Matt Ryan,qb,,,,48.2,1.5,132.8,,,,,
4,,,,,,,1.7,300.1,,520.4,339.8,13.8,24.4,3808.7,Cam Newton,qb,,,,112.9,4.4,545.0,,,,,
5,,,,,,,2.4,296.5,,577.0,379.3,13.7,31.9,4329.3,Andrew Luck,qb,,,,49.7,1.2,210.6,,,,,
6,,,,,,,1.6,290.2,,539.0,387.6,8.8,30.4,4342.6,Drew Brees,qb,,,,24.7,1.9,40.1,,,,,
7,,,,,,,2.7,288.0,,564.7,358.8,16.6,27.7,4454.9,Jameis Winston,qb,,,,57.2,1.6,277.0,,,,,
8,,,,,,,5.2,286.7,,436.2,258.9,10.8,17.2,3016.9,Lamar Jackson,qb,,,,177.5,6.4,911.0,,,,,
9,,,,,,,2.2,286.6,,550.3,351.5,11.7,30.5,4372.2,Jared Goff,qb,,,,31.1,1.2,102.9,,,,,
10,,,,,,,2.6,285.6,,569.0,376.6,12.2,30.1,4244.9,Carson Wentz,qb,,,,52.4,1.0,192.0,,,,,
11,,,,,,,2.3,285.5,,522.6,344.9,11.0,23.7,3862.1,Dak Prescott,qb,,,,68.0,5.3,311.4,,,,,
12,,,,,,,2.4,285.4,,562.0,360.9,14.5,30.9,4311.1,Baker Mayfield,qb,,,,47.1,0.9,181.3,,,,,
13,,,,,,,1.8,283.5,,620.3,407.1,15.3,29.2,4645.6,Ben Roethlisberger,qb,,,,23.3,1.2,75.3,,,,,
14,,,,,,,2.1,281.2,,454.7,292.8,9.5,27.8,3571.0,Russell Wilson,qb,,,,73.0,2.0,381.3,,,,,
15,,,,,,,1.5,276.3,,581.0,379.8,10.8,29.0,4370.4,Tom Brady,qb,,,,20.7,1.0,38.6,,,,,
16,,,,,,,2.5,272.6,,513.8,334.6,13.1,25.1,3776.6,Mitch Trubisky,qb,,,,66.2,2.4,377.6,,,,,
17,,,,,,,2.4,271.6,,573.3,394.6,11.9,27.4,4152.0,Kirk Cousins,qb,,,,38.8,1.9,134.3,,,,,
18,,,,,,,1.4,270.2,,546.8,360.7,12.3,29.7,4371.8,Philip Rivers,qb,,,,13.7,0.2,25.4,,,,,
19,,,,,,,3.2,268.4,,544.5,336.1,14.5,21.4,3721.3,Kyler Murray,qb,,,,107.0,3.1,505.3,,,,,
