actual_points,fumbles,fumbles_proj,name,point_diff,position,position_rank,pro_team,projected_points,rec_2pt_conversion,rec_2pt_conversion_proj,rec_avg_yards,rec_avg_yards_proj,rec_tds,rec_tds_proj,rec_yards,rec_yards_proj,receptions,receptions_proj,targets,targets_proj,week,weekly_outlook
43.0,,,Aaron Rodgers,25.35,QB,7,GB,17.65,,,,,,,,,,,,,7,"Rodgers enters 2019 off a relatively disappointing season in which he was limited to six top-10 fantasy weeks (eight QBs had more). Rodgers pushed the ball down field more (his 8.8 aDOT was ninth highest) and saw his completion percentage plummet to 62 percent and his off-target rate increase to 18 percent (eighth highest). On the plus side, Rodgers threw only two interceptions in 597 attempts. A supporting cast lacking depth and a new coach adds some risk, but Rodgers remains one of the best in the business and should be viewed as a strong QB1 option."
43.0,0.0,0.015390949,Marvin Jones Jr.,32.54,WR,16,DET,10.46,0.0,0.017068344,9.3,15.80939182,4.0,0.313822144,93.0,55.86916705,10.0,3.5339226,13.0,6.127190256,7,"Jones was well on his way to another solid fantasy campaign last season prior to suffering a knee injury in Week 10. At that point, Jones had scored five touchdowns and sat 27th among wide receivers in fantasy points. Granted his usage and production was down a bit in Matt Patricia's run-first scheme last season, but Jones has now averaged a target share of at least 19 percent each of the past four seasons (three with Detroit). He has finished top 15 in aDOT each of the past three seasons and posted a solid 8.5 YPT last season despite 33 percent of balls thrown his way registering as off target (second highest). The 29-year-old Jones is a fringe WR3."
34.0,,,Chase Edmonds,28.42,RB,22,ARI,5.58,,,,,,,,,,,,,7,"Edmonds was selected in the fourth round of the 2018 draft and quickly earned No. 2 duties behind workhorse David Johnson. Edmonds was held to 208 yards and a pair of touchdowns on 60 carries (3.5 YPC, 1.5 YAC) and 103 yards on 23 targets (4.5 YPT). The 23-year-old didn't stand out as a rookie but remains positioned as Johnson's primary handcuff, which supplies him with value in deeper leagues."
31.0,,,Darren Waller,16.77,TE,2,OAK,14.23,,,,,,,,,,,,,7,
31.0,,,Latavius Murray,20.189999999999998,RB,29,NO,10.81,,,,,,,,,,,,,7,"Murray signed on with the Saints to replace Mark Ingram as a complement to lead back Alvin Kamara. Murray has been the poster boy for mediocrity, having finished each of the past four seasons with a yards per carry mark no higher than 4.13 and no lower than 3.90. Murray has been between 103 and 264 receiving yards each of the past three seasons. The area where Murray has stood out is the touchdown department. Since 2015, he ranks second in the NFL in rushing touchdowns (32), fourth in rushing OTD (27.7) and fifth in carries inside the 5-yard line (40). Murray is a sneaky flex in touchdown-only leagues, but his real appeal is as arguably the most valuable handcuff in fantasy. If Kamara goes down, Murray will be in the RB1 mix."
29.0,,,Kirk Cousins,16.15,QB,11,MIN,12.85,,,,,,,,,,,,,7,"Cousins posted career-high marks in completion percentage (70.1 percent) and passing touchdowns (30) in his first season with the Vikings, but still managed his worst fantasy season (12th) since he became a full-time starter in 2015. Cousins was extremely conservative, posting a career-low 7.2 aDOT, which was sixth lowest in the NFL and led to an ugly 10.1 yards per completion (fourth lowest). Cousins rushed for at least three touchdowns during each of his three seasons as the Redskins' starter, but managed only one touchdown last season. He posted a healthy seven top-10 fantasy weeks, but finished 20th or worse six times. Minnesota is expected to operate a run-first offense this season, so Cousins is best viewed as a midrange QB2."
28.0,,,Matthew Stafford,12.96,QB,12,DET,15.04,,,,,,,,,,,,,7,"After finishing worse than ninth among quarterbacks in fantasy points once during the previous seven seasons, Stafford plummeted to a 20th-place finish in Matt Patricia's first season as Detroit's head coach in 2018. Volume was one of the culprits, as Stafford failed to finish top 10 in dropbacks, pass attempts and passing yardage for the first time since 2010. Efficiency was also an issue, as Stafford was off target on 19 percent of his throws (sixth worst) and posted 6.81 yards per attempt (worst since his rookie season in 2009). Stafford is still in his prime at 31 years old, but has evolved into a conservative passer (6.8 aDOT was third lowest last season). He offers little with his legs with 54 attempts, 169 yards and zero touchdowns over the past two seasons. He's a back-end QB2 with limited upside in Detroit's run-first offense."
28.0,0.0,0.009820744,Zach Pascal,24.6,WR,58,IND,3.4,0.0,0.007005335,17.667,11.96886608,2.0,0.149856695,106.0,17.16209415,6.0,1.433894743,7.0,2.373957985,7,
27.0,,,Dalvin Cook,7.719999999999999,RB,2,MIN,19.28,,,,,,,,,,,,,7,"Now two seasons into his NFL career, Cook has made it through only 13 games healthy. Though durability is obviously a concern, volume and efficiency are not. During those 13 weeks, Cook handled 61 percent of the team's designed runs (14.2 per game) and 14 percent of the targets (4.7 per game). He's averaging 4.7 YPC (2.1 YAC) on 207 career attempts. Cook has yet to emerge as a consistent fantasy threat, but did post the seventh-most fantasy points at the position after Week 12 last season, which aligned both with his return to full health and Minnesota's move to a run-first offense. Minnesota is expected to operate a run-heavy scheme in 2019, and Cook has minimal competition for touches. He's a breakout candidate and strong RB2."
27.0,,,Jacoby Brissett,11.28,QB,15,IND,15.72,,,,,,,,,,,,,7,"Brissett is back as the Colts starter following Andrew Luck's shocking retirement. Brissett started the entire 2017 season for Indianapolis, but struggled to only four Top 10 fantasy weeks and a 20th-place finish for the season. Brissett was conservative (7.5 aDOT), but only completed 59 percent of his passes. He avoided interceptions (seven), but only threw 13 touchdowns. On the plus side, Brissett's 63 carries and four rushing touchdowns were sixth-most at the position. Brissett is now in his third season with the team and should be better with an improved supporting cast, including a strong offensive line. He's best viewed as a fringe Top 20 option."
26.0,,,Ezekiel Elliott,6.23,RB,5,DAL,19.77,,,,,,,,,,,,,7,"An absolute workhorse since entering the NFL in 2016, Elliott has played just under 90 percent of Dallas' snaps and handled over 80 percent of the carries when active over the past two seasons. That's led to a league-high 868 carries despite Elliott having missed eight games during that span. Elliott's game reached a new level last season as he easily reached career highs in targets (94), receptions (77) and receiving yards (567). Elliott led all backs in touches (381) and was second in scrimmage yards (2,001). His underwhelming usage near the goal line remains a concern (his 10 carries inside the 5 ranked 17th last season). Nonetheless, Elliott is a young, high-end talent set for a ton of volume. With his contract situation resolved, he should be off the board in the top 4 of every draft."
25.0,0.0,0.033691451,DeAndre Hopkins,9.34,WR,7,HOU,15.66,0.0,0.017909857,11.778,12.07613348,1.0,0.435964137,106.0,73.31684824,9.0,6.071218769,12.0,9.085204256,7,"Hopkins has been the No. 2 scoring fantasy wide receiver during each of the past two seasons and has finished in the top 4 three of the past four seasons. Hopkins has been a workhorse, ranking no lower than sixth in targets, receptions, yardage, touchdowns and end zone targets during each of the past two seasons. He has topped the position in OTD both seasons. Finally attached to a quality quarterback for a full season, Hopkins caught a career-high 70 percent of his targets in 2018. Hopkins has managed a massive 35 percent target share over the past two seasons. That could drop some with Kenny Stills, Will Fuller V and Keke Coutee in the mix, but Hopkins will still rank at or near the top of the position in the category. The sure-handed 27-year-old remains an elite fantasy asset."
24.0,,,Austin Ekeler,11.85,RB,3,LAC,12.15,,,,,,,,,,,,,7,"Granted, it has been in a situational role behind Melvin Gordon, but Ekeler has been one of the league's most efficient backs since he entered the league as an undrafted free agent in 2017. Ekeler is averaging 5.3 YPC (2.4 YAC) on 153 carries and 7.9 YPT on 86 targets in 30 career games. He ranked fourth in YAC last season and has finished top-six in YPR and YPT in both seasons. He has also ranked top-eight in fantasy points per snap both seasons. The 24-year-old will be on the early-season RB1 radar with Gordon continuing his lengthy holdout and could flirt with standalone value once Gordon does report. Ekeler is a good mid-round target."
24.0,0.0,0.056073909,Allen Robinson II,11.29,WR,13,CHI,12.71,0.0,0.018120049,8.7,12.5387063,1.0,0.318051297,87.0,61.16713399,10.0,4.878265152,16.0,8.203452587,7,"It's fair to say Robinson's first season with Chicago was a bit of a disappointment. The former Jaguar missed three games because of injury and was held to one weekly finish fantasy better than 19th. Robinson was held to four touchdowns, though he did enjoy a healthy 23 percent target share. The latter supplies some promise as Robinson is still only 25 and enters 2019 with a full season under his belt after missing all but three snaps in 2017 because of a torn ACL. Robinson ranked seventh at the position in targets (297) and fourth in touchdowns (20) during the 2015-16 seasons. Robinson is a fringe top 25 fantasy receiver."
24.0,,,Jared Goff,7.98,QB,17,LAR,16.02,,,,,,,,,,,,,7,"Goff has flourished during his two seasons with Sean McVay at the helm. The Rams have finished top five in offensive touchdowns and Goff has finished top five in both yards per completion and yards per attempt each of those seasons. Goff was fantasy's No. 12 scoring QB in 2017 and improved to No. 7 in 2018. Goff adds little with his legs as he has only tallied 175 rushing yards in 38 career games. His accuracy remains a question, too, finishing no better than in the 63rd percentile in off-target rate each of his three seasons. However, terrific hands (2.1 percent drop rate) and post-catch production (6.2 RAC) from his receivers have led to excellent passing numbers. Goff is a fringe QB1."
23.0,,,Patriots D/ST,13.54,DST,1,NE,9.46,,,,,,,,,,,,,7,"All eyes are usually on the New England offense, but the Patriots' defense has been good for a long time. In fact, their D/ST has posted seven top-10 fantasy campaigns the past nine seasons. New England struggled to only 30 sacks last season (third-fewest) but made up for it with 28 forced turnovers (fifth) and four touchdowns (tied for seventh). The Patriots ranked seventh in points allowed (325) and have ranked top-10 in the category 12 of the past 13 seasons. Fantasy's reigning No. 6 D/ST lost Trey Flowers, Malcom Brown and star returner Cordarrelle Patterson but added Michael Bennett to a core that includes Stephon Gilmore, Devin McCourty and Lawrence Guy. This is an average group on paper, but it is led by a coach who always maximizes his talent. As usual, the Patriots' D/ST is a back-end starting option."
