index,Player,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,MISC FL,MISC FPTS,Position,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,FG,FGA,XPT
0,Zach Ertz,7.0,76.9,0.6,0.1,18.0,te,,,,,,,,,,,,,,,,,18.0,,,
1,Travis Kelce,5.6,82.7,0.6,0.1,17.5,te,,,,,,,,,,,,,,,,,17.5,,,
2,George Kittle,5.8,69.6,0.5,0.1,15.6,te,,,,,,,,,,,,,,,,,15.6,,,
3,Evan Engram,5.4,59.6,0.5,0.0,14.4,te,,,,,,,,,,,,,,,,,14.4,,,
4,Mark Andrews,4.7,55.8,0.6,0.0,13.7,te,,,,,,,,,,,,,,,,,13.7,,,
5,Delanie Walker,4.6,50.0,0.4,0.0,11.7,te,,,,,,,,,,,,,,,,,11.7,,,
6,Darren Waller,5.3,50.4,0.2,0.1,11.5,te,,,,,,,,,,,,,,,,,11.5,,,
7,Greg Olsen,3.7,49.0,0.4,0.0,10.7,te,,,,,,,,,,,,,,,,,10.7,,,
8,Austin Hooper,4.9,47.8,0.1,0.0,10.4,te,,,,,,,,,,,,,,,,,10.4,,,
9,Jason Witten,3.6,38.3,0.4,0.0,10.0,te,,,,,,,,,,,,,,,,,10.0,,,
10,Vance McDonald,4.1,43.1,0.2,0.0,9.4,te,,,,,,,,,,,,,,,,,9.4,,,
11,T.J. Hockenson,3.8,44.4,0.2,0.0,9.1,te,,,,,,,,,,,,,,,,,9.1,,,
12,Jimmy Graham,3.0,37.1,0.3,0.0,8.7,te,,,,,,,,,,,,,,,,,8.7,,,
13,Vernon Davis,3.5,40.3,0.1,0.0,8.3,te,,,,,,,,,,,,,,,,,8.3,,,
14,Jared Cook,3.3,40.4,0.1,0.0,8.1,te,,,,,,,,,,,,,,,,,8.1,,,
15,O.J. Howard,2.9,42.3,0.2,0.1,8.0,te,,,,,,,,,,,,,,,,,8.0,,,
16,Eric Ebron,3.0,36.4,0.2,0.0,7.8,te,,,,,,,,,,,,,,,,,7.8,,,
17,Kyle Rudolph,3.0,33.3,0.2,0.0,7.4,te,,,,,,,,,,,,,,,,,7.4,,,
18,Gerald Everett,2.9,30.5,0.1,0.0,6.8,te,,,,,,,,,,,,,,,,,6.8,,,
19,Will Dissly,2.5,33.2,0.2,0.0,6.7,te,,,,,,,,,,,,,,,,,6.7,,,
20,Tyler Eifert,2.7,29.2,0.1,0.0,6.4,te,,,,,,,,,,,,,,,,,6.4,,,
21,Jack Doyle,2.9,29.1,0.1,0.1,6.3,te,,,,,,,,,,,,,,,,,6.3,,,
22,Noah Fant,2.6,32.2,0.1,0.0,6.2,te,,,,,,,,,,,,,,,,,6.2,,,
23,Dallas Goedert,2.2,26.6,0.2,0.0,5.8,te,,,,,,,,,,,,,,,,,5.8,,,
24,Demetrius Harris,2.4,27.4,0.1,0.0,5.8,te,,,,,,,,,,,,,,,,,5.8,,,
25,Trey Burton,2.1,26.2,0.1,0.0,5.3,te,,,,,,,,,,,,,,,,,5.3,,,
26,Mike Gesicki,2.3,25.9,0.1,0.1,5.1,te,,,,,,,,,,,,,,,,,5.1,,,
27,Virgil Green,2.2,22.9,0.1,0.0,5.0,te,,,,,,,,,,,,,,,,,5.0,,,
28,Ryan Griffin,2.2,24.1,0.1,0.0,4.9,te,,,,,,,,,,,,,,,,,4.9,,,
