index,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,Position,FG,FGA,XPT,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,MISC FL,MISC FPTS,RECEIVING REC,RECEIVING YDS,RECEIVING TDS
0,RamsD/ST,3.0,1.2,0.7,1.2,0.2,0.0,19.7,370.7,9.1,dst,,,,,,,,,,,,,,,,
1,ChargersD/ST,3.4,1.1,0.6,0.8,0.2,0.0,13.3,279.1,9.0,dst,,,,,,,,,,,,,,,,
2,PatriotsD/ST,2.6,1.1,0.6,1.1,0.2,0.1,15.9,320.5,8.2,dst,,,,,,,,,,,,,,,,
3,SteelersD/ST,3.0,0.9,0.6,1.1,0.2,0.0,19.2,322.4,8.0,dst,,,,,,,,,,,,,,,,
4,SeahawksD/ST,3.6,1.0,0.7,1.1,0.2,0.0,20.0,317.7,7.9,dst,,,,,,,,,,,,,,,,
5,RavensD/ST,2.5,1.1,0.6,0.8,0.2,0.0,18.5,335.9,7.9,dst,,,,,,,,,,,,,,,,
6,JaguarsD/ST,2.9,0.9,0.5,0.9,0.2,0.0,18.9,318.3,7.7,dst,,,,,,,,,,,,,,,,
7,ColtsD/ST,2.8,0.7,0.7,1.3,0.1,0.0,19.2,341.1,7.6,dst,,,,,,,,,,,,,,,,
8,VikingsD/ST,2.7,0.9,0.6,0.8,0.1,0.1,19.0,320.1,7.5,dst,,,,,,,,,,,,,,,,
9,BroncosD/ST,2.7,0.7,0.7,1.2,0.1,0.0,17.6,318.2,7.4,dst,,,,,,,,,,,,,,,,
10,PanthersD/ST,3.4,0.9,0.6,1.0,0.1,0.0,25.1,348.4,7.3,dst,,,,,,,,,,,,,,,,
11,PackersD/ST,2.9,0.9,0.7,1.2,0.2,0.0,20.6,348.4,7.1,dst,,,,,,,,,,,,,,,,
12,BearsD/ST,2.6,0.7,0.6,1.0,0.1,0.0,17.1,300.0,7.1,dst,,,,,,,,,,,,,,,,
13,RedskinsD/ST,2.9,1.0,0.7,1.1,0.1,0.0,24.3,352.6,7.0,dst,,,,,,,,,,,,,,,,
14,TexansD/ST,2.6,1.0,0.6,1.1,0.2,0.0,20.5,356.5,6.9,dst,,,,,,,,,,,,,,,,
15,FalconsD/ST,3.1,0.8,0.6,0.9,0.1,0.1,20.7,318.0,6.8,dst,,,,,,,,,,,,,,,,
16,CardinalsD/ST,3.3,0.7,0.7,1.0,0.1,0.0,25.4,359.0,6.8,dst,,,,,,,,,,,,,,,,
17,ChiefsD/ST,2.6,0.9,0.6,1.0,0.2,0.0,23.0,350.6,6.7,dst,,,,,,,,,,,,,,,,
